software_name,sender_domain,is_software
Capitalone,capitalone.com,FALSE
Fidelity,fidelity.com,FALSE
Schwab,schwab.com,FALSE
Robinhood,robinhood.com,FALSE
Ba,ba.com,FALSE
Singaporeair,singaporeair.com,FALSE
Emirates,emirates.com,FALSE
Qatarairways,qatarairways.com,FALSE
United,united.com,FALSE
Delta,delta.com,FALSE
Easyjet,easyjet.com,FALSE
Ryanair,ryanair.com,FALSE
Cathaypacific,cathaypacific.com,FALSE
Ikea,ikea.com,FALSE
Imf,imf.org,FALSE
Oecd,oecd.org,FALSE
Worldbank,worldbank.org,FALSE
Clickfunnels,clickfunnels.com,TRUE
Hotspotshield,hotspotshield.com,TRUE
Grammarly,grammarly.com,TRUE
Weebly,weebly.com,TRUE
Lucidchart,lucidchart.com,TRUE
Proofhub,proofhub.com,TRUE
Smartsheet,smartsheet.com,TRUE
Protonmail,protonmail.com,TRUE
Box,box.com,TRUE
Quora,quora.com,FALSE
Asanaflow,asanaflow.com,TRUE
Wistia,wistia.com,TRUE
Drift,drift.com,TRUE
Heapanalytics,heapanalytics.com,TRUE
Pipedrive,pipedrive.com,TRUE
Hubstaff,hubstaff.com,TRUE
Clockify,clockify.me,TRUE
Zapier,zapier.io,TRUE
Adobeconnect,adobeconnect.com,TRUE
Freshdesk,freshdesk.com,TRUE
Userpilot,userpilot.com,TRUE
Invisionapp,invisionapp.com,TRUE
Webflow,webflow.com,TRUE
Surferseo,surferseo.com,TRUE
Ahrefs,ahrefs.com,TRUE
Moz,moz.com,TRUE
Optimizely,optimizely.com,TRUE
Unbounce,unbounce.com,TRUE
Instapage,instapage.com,TRUE
Clickupflow,clickupflow.com,TRUE
Podio,podio.com,TRUE
Teamwork,teamwork.com,TRUE
Slite,slite.com,TRUE
Loom,loom.com,TRUE
Vimeoenterprise,vimeoenterprise.com,TRUE
Dovetailapp,dovetailapp.com,TRUE
Pitch,pitch.com,TRUE
Frontapp,frontapp.com,TRUE
Gainsight,gainsight.com,TRUE
Plangrid,plangrid.com,TRUE
Mixmax,mixmax.com,TRUE
Zoominfotech,zoominfotech.com,TRUE
Leadfeeder,leadfeeder.com,TRUE
Surveypal,surveypal.com,TRUE
Freshchat,freshchat.com,TRUE
Coda,coda.io,TRUE
Guru,guru.com,TRUE
Confluencecloud,confluencecloud.com,TRUE
Sendoso,sendoso.com,TRUE
Reachdesk,reachdesk.com,TRUE
Gongflow,gongflow.io,TRUE
Chorus,chorus.ai,TRUE
Outreach,outreach.io,TRUE
Apollo,apollo.io,TRUE
Klaviyo,klaviyo.com,TRUE
Customer,customer.io,TRUE
Iterable,iterable.com,TRUE
Braze,braze.com,TRUE
Campaignmonitor,campaignmonitor.com,TRUE
Drip,drip.com,TRUE
Activecollab,activecollab.com,TRUE
Asanaenterprise,asanaenterprise.com,TRUE
Litmus,litmus.com,TRUE
Maropost,maropost.com,TRUE
Dotdigital,dotdigital.com,TRUE
Saleshandy,saleshandy.com,TRUE
Mailshake,mailshake.com,TRUE
Woodpecker,woodpecker.co,TRUE
Reply,reply.io,TRUE
Yesware,yesware.com,TRUE
Mixrank,mixrank.com,TRUE
Builtwith,builtwith.com,TRUE
Phantombuster,phantombuster.com,TRUE
Hunter,hunter.io,TRUE
Snov,snov.io,TRUE
Lemlist,lemlist.com,TRUE
Voilanorbert,voilanorbert.com,TRUE
Rocketreach,rocketreach.com,TRUE
Clearbit,clearbit.com,TRUE
Zoominfo,zoominfo.com,TRUE
Lusha,lusha.com,TRUE
Adapt,adapt.io,TRUE
Upfluence,upfluence.com,TRUE
Pitchbox,pitchbox.com,TRUE
Buzzstream,buzzstream.com,TRUE
Brandwatch,brandwatch.com,TRUE
Sprinklr,sprinklr.com,TRUE
Falcon,falcon.io,TRUE
Hootsuiteent,hootsuiteenterprise.com,TRUE
Sproutsocial,sproutsocial.com,TRUE
Socialbakers,socialbakers.com,TRUE
Citi,citi.com,FALSE
Boa,boa.com,FALSE
Wellsfargo,wellsfargo.com,FALSE
Ubs,ubs.com,FALSE
Deutsche-bank,deutsche-bank.com,FALSE
Credit-suisse,credit-suisse.com,FALSE
Rbc,rbc.com,FALSE
Td,td.com,FALSE
Bmo,bmo.com,FALSE
Anz,anz.com,FALSE
Nab,nab.com.au,FALSE
Westpac,westpac.com,FALSE
Macquarie,macquarie.com,FALSE
Santander,santander.com,FALSE
Bbva,bbva.com,FALSE
Ing,ing.com,FALSE
Unicredit,unicredit.eu,FALSE
Socgen,socgen.com,FALSE
Bnpparibas,bnpparibas.com,FALSE
Creditagricole,creditagricole.com,FALSE
Scotiabank,scotiabank.com,FALSE
Standardbank,standardbank.co.za,FALSE
Absa,absa.co.za,FALSE
First-rand,first-rand.co.za,FALSE
Nedbank,nedbank.co.za,FALSE
Bankofchina,bankofchina.com,FALSE
Icbc,icbc.com.cn,FALSE
Pingan,pingan.com,FALSE
Natwest,natwest.com,FALSE
Lloyds,lloyds.co.uk,FALSE
Halifax,halifax.co.uk,FALSE
Tbs,tbs.co.uk,FALSE
Metrobank,metrobank.com,FALSE
Monzo,monzo.com,FALSE
Revolut,revolut.com,FALSE
Wise,wise.com,FALSE
N26,n26.com,FALSE
Bunq,bunq.com,FALSE
Chime,chime.com,FALSE
Sofi,sofi.com,FALSE
Ally,ally.com,FALSE
Capitalonebank,capitalonebank.com,FALSE
Discover,discover.com,FALSE
Paypalcorp,paypalcorp.com,FALSE
Stripepayments,stripepayments.com,FALSE
Squareup,squareup.com,FALSE
Venmo,venmo.com,FALSE
Zellepay,zellepay.com,FALSE
Alipay,alipay.com,FALSE
Wechatpay,wechatpay.com,FALSE
Gcash,gcash.com,FALSE
Grabpay,grabpay.com,FALSE
Paytm,paytm.com,FALSE
Phonepe,phonepe.com,FALSE
Ola,ola.money,FALSE
Swedbank,swedbank.se,FALSE
Seb,seb.se,FALSE
Danske,danske.dk,FALSE
Kbc,kbc.be,FALSE
Rabobank,rabobank.nl,FALSE
Abnamro,abnamro.nl,FALSE
Unicaja,unicaja.es,FALSE
Caixabank,caixabank.com,FALSE
Sabadell,sabadell.com,FALSE
Bankinter,bankinter.com,FALSE
Banamex,banamex.com.mx,FALSE
Santander-mx,santander.mx,FALSE
Itau,itau.com.br,FALSE
Bradesco,bradesco.com,FALSE
Bb,bb.com.br,FALSE
Banrisul,banrisul.com.br,FALSE
Votorantim,votorantim.com,FALSE
Etihad,etihad.com,FALSE
Malaysiaairlines,malaysiaairlines.com,FALSE
Thai-airways,thai-airways.com,FALSE
Evaair,evaair.com,FALSE
Jal,jal.co.jp,FALSE
Ana,ana.co.jp,FALSE
Airindia,airindia.com,FALSE
Indigo,indigo.in,FALSE
Spicejet,spicejet.com,FALSE
Goair,goair.in,FALSE
Jetairways,jetairways.com,FALSE
Airfrance,airfrance.com,FALSE
Klm,klm.com,FALSE
Lufthansa,lufthansa.com,FALSE
Swiss,swiss.com,FALSE
Austrian,austrian.com,FALSE
Netsuite,netsuite.com,TRUE
