Software,unique_users,Source,Category
Microsoft_Azure_Support,2,SSO,Internal Applications
Microsoft_Azure_SupportPortalExtension,3,SSO,Internal Applications
Microsoft_OperationsManagementSuite_Workspace,4,SSO,Azure Services
My Apps,79,SSO,Microsoft Core Services
My Profile,4,SSO,Microsoft Core Services
My Signins,1,SSO,Microsoft Core Services
Netsuite,1,"Email, SSO",Other SaaS / Business Apps
NucleusDesktop,1,SSO,Internal Applications
ODSPTaigerService,67,SSO,Internal Applications
Office 365 Exchange Online,116,SSO,Microsoft Core Services
Office 365 Search Service,149,SSO,Internal Applications
Office 365 SharePoint Online,143,SSO,Microsoft Core Services
Office Online Core,77,SSO,Microsoft Core Services
Office Online Service,82,SSO,Internal Applications
Office Python Service MSA and AAD,21,SSO,Internal Applications
Office365 Shell WCSS-Client,117,SSO,Microsoft Core Services
Office365 Shell WCSS-Server,78,SSO,Internal Applications
OfficeAIAppChatCopilot,13,SSO,Internal Applications
OfficeHome,28,SSO,Microsoft Core Services
OfficeServicesManager,19,SSO,Internal Applications
Olympus,103,SSO,Internal Applications
One Outlook Web,35,SSO,Microsoft Core Services
OneDrive,10,SSO,Internal Applications
OneDrive SyncEngine,172,SSO,Internal Applications
OneDrive iOS App,4,SSO,Internal Applications
Orbus Solutions Hub,11,SSO,Internal Applications
OrbusInfinity,48,SSO,Internal Applications
OrbusInfinity - Development,33,SSO,Internal Applications
OrbusInfinity Connector,11,SSO,Internal Applications
OrbusInfinity Flow,7,SSO,Internal Applications
OrbusInfinity Flow Connector,53,SSO,Internal Applications
OrbusInfinity Flow Connector (Development),10,SSO,Internal Applications
OrbusInfinity Power Automate Connector,5,SSO,Internal Applications
Outlook Mobile,131,SSO,Microsoft Core Services
PaintCocreator,3,SSO,Internal Applications
Phish Alert Button (EU) (N),14,SSO,Internal Applications
Portfolios,3,SSO,Internal Applications
Power Automate AAD App for Teams connector,14,SSO,Developer Tools
Power Automate AI Flows Web,1,SSO,Internal Applications
Power Automate Desktop For Windows,1,SSO,Internal Applications
Power BI Data Refresh,3,SSO,Internal Applications
Power BI Desktop,6,SSO,Microsoft Core Services
Power BI Service,25,SSO,Internal Applications
Power Platform Admin Center,1,SSO,Developer Tools
Power Platform Insights and Recommendations Prod,1,SSO,Internal Applications
Power Platform Policy Services CM - PROD,1,SSO,Internal Applications
Power Policy CM - PROD,1,SSO,Internal Applications
PowerPlatform-LoopConnector,1,SSO,Internal Applications
PowerPlatform-excelonlinebusiness-Connector,5,SSO,Developer Tools
PowerPlatform-powerbi-Connector,2,SSO,Internal Applications
